Photon: pt = 22.7598; eta = -0.75944; phi = 1.19533; sceta = -0.751539; scphi = 1.19519
TRI_Photon: pt = 163.378; eta = 2.40745; phi = -0.404742; sceta = 2.40602; scphi = -0.402771
TRI_Photon: pt = 82.8633; eta = 1.68236; phi = -2.71972; sceta = 1.68192; scphi = -2.72027
TRI_Photon: pt = 15.8896; eta = -1.06627; phi = 2.25244; sceta = -1.06786; scphi = 2.25163
TRI_Photon: pt = 15.4789; eta = -0.997228; phi = 2.05442; sceta = -0.998795; scphi = 2.05369
TRI_Photon: pt = 70.368; eta = -1.35191; phi = 1.02005; sceta = -1.33481; scphi = 1.02007
TRI_Photon: pt = 65.2122; eta = -0.293; phi = -2.31037; sceta = -0.262236; scphi = -2.31055
TRI_Photon: pt = 19.5825; eta = -1.32043; phi = 1.08745; sceta = -1.30301; scphi = 1.08741
TRI_Photon: pt = 34.0724; eta = 1.59132; phi = -2.34867; sceta = 1.59488; scphi = -2.34888
TRI_Photon: pt = 27.9845; eta = 0.281846; phi = 0.718072; sceta = 0.288517; scphi = 0.718346
TRI_Photon: pt = 12.4839; eta = 1.57288; phi = -2.27077; sceta = 1.57646; scphi = -2.27091
TRI_Photon: pt = 40.0335; eta = 0.361371; phi = -2.87601; sceta = 0.366176; scphi = -2.87661
TRI_Photon: pt = 24.1187; eta = -0.718063; phi = 0.137264; sceta = -0.713837; scphi = 0.137933
TRI_Photon: pt = 12.8146; eta = -0.790175; phi = 0.113663; sceta = -0.786073; scphi = 0.11435
TRI_Photon: pt = 81.5815; eta = -2.08016; phi = -0.801894; sceta = -2.07249; scphi = -0.800518
TRI_Photon: pt = 36.1134; eta = -0.267454; phi = 2.47721; sceta = -0.248464; scphi = 2.47636
TRI_Photon: pt = 19.1994; eta = -0.256387; phi = 2.47076; sceta = -0.237293; scphi = 2.4699
TRI_Photon: pt = 63.8248; eta = 2.80066; phi = 0.742805; sceta = 2.78678; scphi = 0.743675
TRI_Photon: pt = 55.1041; eta = 1.12975; phi = 2.99742; sceta = 1.11412; scphi = 2.99661
TRI_Photon: pt = 23.9102; eta = 1.04293; phi = -1.82554; sceta = 1.02622; scphi = -1.82531
TRI_Photon: pt = 43.6435; eta = 0.367939; phi = -2.54952; sceta = 0.350141; scphi = -2.5499
TRI_Photon: pt = 33.3052; eta = 0.187111; phi = 2.01536; sceta = 0.167916; scphi = 2.01466
TRI_Photon: pt = 27.0674; eta = 1.28594; phi = -0.810783; sceta = 1.27591; scphi = -0.809988
TRI_Photon: pt = 34.8863; eta = -1.38594; phi = 2.43722; sceta = -1.39345; scphi = 2.43634
TRI_Photon: pt = 30.9444; eta = 2.20799; phi = -0.316638; sceta = 2.20108; scphi = -0.315032
TRI_Photon: pt = 25.7352; eta = -1.35803; phi = 2.47014; sceta = -1.36577; scphi = 2.46926
TRI_Photon: pt = 42.7175; eta = -0.948816; phi = -0.682206; sceta = -0.945615; scphi = -0.681354
TRI_Photon: pt = 40.9404; eta = -0.899392; phi = 2.21594; sceta = -0.895741; scphi = 2.21514
TRI_Photon: pt = 14.2228; eta = -0.713056; phi = -0.244804; sceta = -0.709032; scphi = -0.243977
TRI_Photon: pt = 31.3556; eta = 0.634999; phi = 2.49295; sceta = 0.638785; scphi = 2.49212
TRI_Photon: pt = 27.9965; eta = 0.259352; phi = -0.455738; sceta = 0.263816; scphi = -0.454905
TRI_Photon: pt = 26.8621; eta = 0.331776; phi = -0.447721; sceta = 0.336172; scphi = -0.446883
TRI_Photon: pt = 24.9365; eta = 0.601446; phi = 2.51831; sceta = 0.605317; scphi = 2.51748
TRI_Photon: pt = 13.2457; eta = -0.5898; phi = 1.37074; sceta = -0.585424; scphi = 1.37047
TRI_Photon: pt = 48.9315; eta = -1.46751; phi = -1.99451; sceta = -1.4555; scphi = -1.99441
TRI_Photon: pt = 37.3776; eta = -2.04151; phi = 1.28901; sceta = -2.02858; scphi = 1.28866
TRI_Photon: pt = 12.3391; eta = 2.64584; phi = -0.0732485; sceta = 2.6567; scphi = -0.0709445
TRI_Photon: pt = 40.3936; eta = -0.349493; phi = 1.05337; sceta = -0.356595; scphi = 1.05336
TRI_Photon: pt = 24.5276; eta = 0.761965; phi = -2.08896; sceta = 0.756481; scphi = -2.08895
TRI_Photon: pt = 11.9825; eta = 0.806701; phi = -2.06611; sceta = 0.801366; scphi = -2.06608
TRI_Photon: pt = 124.871; eta = -0.734538; phi = 1.1904; sceta = -0.726628; scphi = 1.19027
TRI_Photon: pt = 98.6523; eta = 0.633748; phi = -1.99222; sceta = 0.641973; scphi = -1.99213
TRI_Photon: pt = 32.6671; eta = 0.604112; phi = -1.98719; sceta = 0.612511; scphi = -1.9871
TRI_Photon: pt = 22.7598; eta = -0.75944; phi = 1.19533; sceta = -0.751539; scphi = 1.19519
